Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,,Self Lms,Device,Adaptivity Level,Age_new,Class Duration_new
Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,No,Tab,Moderate,21-25,3-6
Girl,21-25,University,Non Government,No,Yes,High,Mid,Mobile Data,4G,1る3ら,Yes,Mobile,Moderate,21-25,1-3
Girl,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,16-20,1-3
Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate,11-15,1-3
Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low,16-20,0
Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low,11-15,1-3
Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,11-15,0
Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate,11-15,1-3
Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,11-15,1-3
Girl,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Boy,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Girl,16-20,College,Non Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,16-20,1-3
Girl,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Moderate,1-15,1-3
Boy,11る15ら,School,Non Government,No,Yes,High,Poor,Wifi,4G,1る3ら,No,Mobile,Low,1-15,1-3
Girl,26-30,University,Government,Yes,Yes,Low,Poor,Mobile Data,4G,0,No,Computer,Low,26-30,0
Girl,21-25,University,Government,No,No,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low,21-25,1-3
